mode,soc,Ta,Ri,Rp,C,tau,ocv
charge,20,60,0.002301524,0.011215676,2491.179931,27.93572379,3.129921
charge,30,60,0.002187637,0.009757142,2726.919346,26.61893406,3.295764
charge,40,60,0.002195443,0.009439316,2922.666117,27.60327818,3.447072
charge,50,60,0.002163125,0.008883443,2948.513951,26.22175425,3.586707
charge,60,60,0.002171402,0.008562121,2938.927605,25.18554996,3.717536
charge,70,60,0.002203753,0.008802517,2972.674297,26.17978707,3.842423
charge,80,60,0.00230703,0.008494999,2968.75972,25.22103447,3.964231
discharge,20,60,0.002296198,0.019353087,2459.88584,48.03713972,3.129921
discharge,30,60,0.002333129,0.0154607,2737.198248,42.3416578,3.295764
discharge,40,60,0.002255867,0.013151597,2946.28798,38.78500076,3.447072
discharge,50,60,0.002180795,0.009424792,2891.490942,27.26927842,3.586707
discharge,60,60,0.002136847,0.009549307,2936.801793,28.20890244,3.717536
discharge,70,60,0.002057509,0.008835148,2909.902686,25.7187088,3.842423
discharge,80,60,0.001936435,0.008707591,2929.267013,25.50919132,3.964231
